Genomic bins	SERC_517_10	SERC_517_11	SERC_517_12	SERC_517_13	SERC_517_8	SERC_517_9	SERC_517_6	SERC_517_7	SERC_517_4	SERC_517_5	SERC_517_3	SERC_Zymo_Pos_Control
bin.146	0.992629427878	0.278181171593	1.98696296377	1.9633040782	2.01115273615	3.10115588178	0.216231605521	1.16339365468	1.87323031831	0.176783934472	1.8688098719	0.0092283686274
bin.184	3.07617734336	1.77963858635	4.37560729286	3.53401417425	3.25198433666	4.91382137898	2.18946252666	3.83108761918	1.12100127669	0.402777194564	1.25104582271	0.016140171353
bin.224	0.785432608238	0.321163801879	0.549141111408	0.520288565586	0.952563798117	0.722213812712	0.564006107878	0.71484121645	0.896481737743	0.168031787473	0.532700638013	0.0008756970865
bin.137	0.0997537803107	2.40209997103	0.0951478210378	0.0646043478207	0.0923365292912	0.0595005744093	0.302259750941	0.14650001609	0.155378363109	3.90922867522	0.270729382482	0.00517612326584
bin.19	0.727491093339	0.189677550916	0.498071466157	0.629205819001	0.602130400384	0.50428134272	0.533397744802	0.632028104731	1.97210773331	0.456801985958	1.05686590206	0.0046997293296
bin.156	1.84235385293	0.675270772312	4.02535804172	2.03692513707	1.55411669706	2.17758692688	1.59927389046	2.15008919234	1.75704105695	0.138627281828	1.12684105737	0.00847680486127
bin.245	0.243148150926	0.072718929675	0.55775965337	0.501576000722	0.651560039297	0.921728895247	0.0536871964929	0.384045911755	1.56818329015	0.10259664595	1.3390270205	0.00155201226242
bin.326	0.366382853149	0.243761377777	0.361657475949	0.802704398287	0.778466003621	0.437912915712	0.555914698432	0.69275899229	2.27307554021	0.502924617583	1.00050761401	0.0
bin.172	1.41000289733	0.973988263264	2.5967054679	2.03191039185	0.923584699598	1.48074034006	0.709373488347	1.30433071433	0.212500856485	0.0942515009143	0.209880495698	0.00934199627813
bin.298	0.587164083469	0.129247479256	6.09118506557	0.413683353708	0.147120999479	0.64251814363	0.873373980408	0.859972982644	1.98385090476	0.151741903953	0.42925528982	0.00718630335837
bin.124	2.53734940363	1.81469969396	2.31757576615	2.62344940051	3.50800375009	3.26337057004	1.91868854142	3.55057260254	0.693385696811	0.348781096206	0.844023835224	0.0182038799012
bin.200	2.38706345918	2.95307887445	0.174658085738	0.294466166528	0.855568520388	0.320059628572	2.03806996868	0.410246309384	0.798759210095	4.07227559062	0.452131598784	0.0128099095589
bin.151	3.53649275819	6.92482930445	1.76093377159	12.5906378957	4.85527301201	1.66276629661	7.63106852374	2.26540995641	11.7329963784	6.26598965926	5.46538781101	0.0263416538845
bin.48	0.369685665738	0.0361794108816	0.919131581525	0.136867406955	0.0499503222128	0.0560735532899	0.040116730504	2.04517862086	3.87996651969	0.0205804138235	0.516955823723	0.00787724067553
bin.327	2.41872715982	0.882370925814	2.20147264983	2.26510002623	3.44552025407	3.67788511672	0.187580626307	2.05639048651	3.76672401101	1.01260457087	4.79372082603	0.00625018082796
bin.247	1.23485902463	2.68552641777	2.37729622321	4.3047678712	2.25048126458	1.62992123478	1.01812763343	1.5331628348	0.686150458114	0.447921362457	0.605138881133	0.0208414091141
bin.93	0.776372466076	0.510117092872	0.988153796747	2.20449301658	1.10096336722	0.953350958866	0.522463024946	0.798052049228	0.423390408689	0.114703801117	0.483518849362	0.00608396452354
bin.271	0.671955199191	0.217639037364	0.710524523704	0.527455486704	1.2662558849	1.35632525778	0.204924586461	0.801023418908	0.904134826784	0.163456444004	1.50728702404	0.00592817306356
bin.29	14.4500627737	10.6759434979	14.7491820752	19.3118922923	17.3929941333	17.1044493344	10.0621408549	17.4746467347	2.56078440565	1.25543901761	5.02744294288	0.0796983111077
bin.252	0.571628675663	0.325527093553	0.873040874053	0.834688377348	0.417787060743	0.536993012346	0.24688883964	0.374989818794	0.88649637681	0.264888985949	1.8884344091	0.00494845996777
bin.193	1.99213769438	1.7692295163	0.936040326294	2.05275561948	2.72837248882	3.7248129957	0.517472492046	0.609851050033	9.3016912131	3.62250761353	11.5576551429	0.0121215058462
bin.112	0.901016197046	0.386410371122	0.552832414754	0.668599671285	0.484730913911	0.509855154406	0.296703558551	0.556140546245	0.726179373363	0.237381257042	1.05972547706	0.00635376485169
